url_origine,url_finale
https://www.cnil.fr/fr/la-cnil-lance-sa-formation-en-ligne-sur-le-rgpd-ouverte-tous,https://www.cnil.fr/fr/comprendre-le-rgpd/le-mooc-de-la-cnil
https://www.dareboost.com,https://www.dareboost.com/en
https://www.dropbox.com/s/bp7xrr7evtqfard/Device%20CO2%20Calculator%20V4.xlsx#,https://www.dropbox.com/s/bp7xrr7evtqfard/Device%20CO2%20Calculator%20V4.xlsx
https://www.ecocode.io/,https://ecocode.io/
https://www.edx.org/course/web-accessibility-introduction,https://www.edx.org/learn/web-accessibility/the-world-wide-web-consortium-w3c-introduction-to-web-accessibility
https://www.electricitymap.org/map,https://app.electricitymaps.com/map/live/fifteen_minutes
https://www.enviroscore.fr/,https://enviroscore.fr/
https://www.fresquedelapublicite.org/,https://www.karlsbadtravel.cz/
https://www.fruggr.io/,https://www.fruggr.io/fr/
https://www.ifu.com/en/umberto/lca-software/,https://www.ipoint-systems.com/software/umberto/
https://www.leslivresblancs.fr/editeur/sup-de-com,https://leslivresblancs.fr/editeur/sup-de-com
https://www.lisio.fr/,https://lisio.fr/
https://www.microsoft.com/design/inclusive/,https://inclusive.microsoft.design/
https://www.microsoft.com/en-us/sustainability/sustainability-guide/sustainability-calculator?activetab=pivot_1:primaryr2,https://www.microsoft.com/en-us/corporate-responsibility/sustainability
https://www.numerique.gouv.fr/publications/rgaa-accessibilite/,https://www.numerique.gouv.fr/offre-accompagnement/reference-accessibilite-rgaa/
https://www.oneclicklca.com/,https://oneclicklca.com/
https://www.qqf.fr/infographie/90/changement-climatique-il-y-a-urgence-a-s-adapter,https://archives.qqf.fr/infographie/90/changement-climatique-il-y-a-urgence-a-s-adapter
https://www.rte-france.com/eco2mix,https://www.rte-france.com/donnees-publications/eco2mix-donnees-temps-reel
https://www.sobriete-editoriale.fr/decouvrir-la-sobriete-editoriale/,https://www.sobriete-editoriale.fr/ressources-sobriete-editoriale/comprendre-la-sobriete-editoriale/
https://www.solidarite-numerique.fr/,https://lesbases.anct.gouv.fr/bases/solidarite-numerique
https://www.thinkwithgoogle.com/feature/testmysite/,https://business.google.com/en-all/think/future-of-marketing/mobile-tools-to-optimize-site-and-app/?ucbcb=1
https://www.tinypng.com,https://tinypng.com/
https://www.tpgi.com/color-contrast-checker/,https://vispero.com/lp/color-contrast-checker/
https://www.watttime.org/explorer/#4/46.89/1.72,https://watttime.org/docs-dev/coverage-map/
https://www.youtube.com/playlist?list=PLVVOLHF0dCQjfYKJIxpabFTB9iXq1G2LC,https://www.youtube.com/playlist?list=PLVVOLHF0dCQjfYKJIxpabFTB9iXq1G2LC&cbrd=1&ucbcb=1
https://zenodo.org/record/2159713#.YT557C8ivZk,https://zenodo.org/records/2159713
