langue,outil,categorie,url,statut
fr,E-Parcours Transition Energétique et Ecologique,Sensibilisation et formation,https://www.bpifrance-universite.fr/formations/responsabilite-societale-des-entreprises/e-parcours-transition-energetique-et-ecologique/,404
fr,Grande Ecole du Numérique,Sensibilisation et formation,https://www.grandeecolenumerique.fr/,"ERR:gaierror:[Errno 8] nodename nor servname provided, or not known"
fr,Green Patterns,Sensibilisation et formation,https://livrels.fr/Ordinateur/Logiciels%20%C3%A9co-con%C3%A7us.pdf,404
fr,Ecolog,Sensibilisation et formation,https://ecolog.isit-europe.org/,"ERR:gaierror:[Errno 8] nodename nor servname provided, or not known"
fr,Fiches Pratiques NR,Sensibilisation et formation,https://www.spn.asso.fr/zoom-sur/decouvrez-nos-fiches-srn-les-bonnes-pratiques/,"ERR:gaierror:[Errno 8] nodename nor servname provided, or not known"
fr,Concevoir sans dark patterns - Guide à l’intention des designers,Sensibilisation et formation,https://beta.designersethiques.org/thematique-design-persuasif/concevoir-sans-dark-patterns,404
fr,Archifiltre,Sobriété de ses données,https://archifiltre.fr/telechargements,"ERR:gaierror:[Errno 8] nodename nor servname provided, or not known"
fr,Ressources pédagogiques en éducation aux médias et à l'information,Marketing et Communication,https://padlet.com/vincent_bornybuzz/ressources-p-dagogiques-en-ducation-aux-m-dias-et-l-informat-hpo70dlkszt48thn,404
en,Adelia,Back-End,http://www.adel-label.com/livre-blanc/,ERR:gaierror
en,Transalgo,Back-End,https://www.transalgo.org/,ERR:gaierror
en,Rgaa audit,Front-End,https://www.numerique.gouv.fr/publications/rgaa-accessibilite/kit/#contenu,404
en,Darkpatterns,Front-End,https://www.darkpatterns.org/index.html,404
en,E-pathway energy and ecological transition,MOOC,https://www.bpifrance-universite.fr/formations/responsabilite-societale-des-entreprises/e-parcours-transition-energetique-et-ecologique/,404
en,Grande ecole du numérique,MOOC,https://www.grandeecolenumerique.fr/,"ERR:gaierror:[Errno 8] nodename nor servname provided, or not known"
en,Sustainable it charter,Reference,https://charte.institutnr.org/wp-content/uploads/2020/10/charte-inr-numerique-responsable.pdf,404
en,Clickclean,Reference,http://www.clickclean.org/,404
en,Corser,Reference,https://sustainabledesign.isit-europe.org/,404
en,Google accessibilty on android,Reference,https://support.google.com/accessibility/android/answer/6006564?hl=fr,404
en,Green patterns,Reference,https://livrels.fr/Ordinateur/Logiciels%20%C3%A9co-con%C3%A7us.pdf,404
en,Gta22 mobile white paper,Reference,https://www.accessiweb.org/tl_files/doc_telechargement/gta22/GTA22_LivreBlanc_Mobile_v1.3.pdf,ERR:gaierror
en,Datacenter kpis,Reference,https://alliancegreenit.org/2017-les-kpi-des-datacenters,404
en,Inclusive writing manual,Reference,https://static1.squarespace.com/static/5e441b2fb746a7235f25667e/t/5e7d1cfc03a13b4fe2f01c17/1585257726011/Mots-Cl%C3%A9s+-+Manuel+d%27%C3%A9criture+inclusive.pdf,404
en,Hippocratic oath for data scientist,Reference,https://hippocrate.tech,ERR:gaierror
en,Sustainable it fact sheets,Reference,https://www.spn.asso.fr/zoom-sur/decouvrez-nos-fiches-srn-les-bonnes-pratiques/,"ERR:gaierror:[Errno 8] nodename nor servname provided, or not known"
en,Climatometer,Strategy,https://climatometre.bpifrance.fr/#/home,"ERR:gaierror:[Errno 8] nodename nor servname provided, or not known"
en,Earthsmart,Strategy,https://www.earthshiftglobal.com/software/earthsmart-lca-software,404
en,Eime,Strategy,https://codde.fr/nos-logiciels/presentation-eime,404
en,Gabi 4,Strategy,http://www.gabi-software.com/france/index/,ERR:gaierror
en,Wenr,Strategy,https://wenr.isit-europe.org/fr/wenr-2021/,404
en,Boavizta,Strategy,https://boavizta.org/calculateur,404
en,Octo carbon footprint calculator,Strategy,https://docs.google.com/spreadsheets/d/1EvHHW-sFHhIIjgoJob-0grLglmfJlSXx/edit#gid=1383163911,410
en,Rgs,Transverse,https://www.ssi.gouv.fr/entreprise/reglementation/confiance-numerique/le-referentiel-general-de-securite-rgs/,404
en,Dark pattern,Ux / Ui,https://linc.cnil.fr/sites/default/files/atoms/files/190903-topography.pdf,404
en,The bëurktionnary,Ux / Ui,http://beurktionary.com/assets/dl/Beurktionary_V2_print.pdf,"ERR:gaierror:[Errno 8] nodename nor servname provided, or not known"
en,Attentional design diagnostic method,Ux / Ui,https://attention.designersethiques.org/2018-methode-attentionnelle/,"ERR:gaierror:[Errno 8] nodename nor servname provided, or not known"
